OBJECTID,UOGID,NAME,TYPE,STUSAB,STATE,CDBG_AMT,ESG_AMT,HOME_AMT,HOPWA_AMT,TOT_AMT,YEAR,SHAPE_Length,SHAPE_Area
1,060288,BELLFLOWER,52,CA,06,924981,0,359523,0,1284504,2021,0.176778492986408,0.0015575102445761
2,060324,BERKELEY,51,CA,06,2687305,233523,754813,0,3675641,2021,0.40575772681811,0.00282021625820164
3,061470,GLENDORA CITY,52,CA,06,310175,0,0,0,310175,2021,0.547751430592697,0.00495143917518942
4,061566,HANFORD,51,CA,06,550412,0,0,0,550412,2021,0.812431200507347,0.00443132517042879
5,061596,HAWTHORNE,52,CA,06,1245324,0,597818,0,1843142,2021,0.332286349322544,0.00153829859866286
6,061602,HAYWARD,51,CA,06,1566255,0,0,0,1566255,2021,1.21016018414896,0.0119001747525337
7,061638,HESPERIA,52,CA,06,978186,0,0,0,978186,2021,1.3610552812317,0.0185888134840758
8,061692,HUNTINGTON BEACH,52,CA,06,1238214,0,618233,0,1856447,2021,0.673382775953168,0.00697404162524182
9,061728,INDIO CITY,52,CA,06,861993,0,0,0,861993,2021,0.825652357724657,0.00915656584364332
10,062622,OXNARD,51,CA,06,2479207,219551,764831,0,3463589,2021,0.969038517339612,0.00688631409002112
11,062658,PALMDALE,52,CA,06,1519174,0,577747,0,2096921,2021,2.1027049611305,0.027032514598583
12,062670,PALM DESERT,52,CA,06,418663,0,0,0,418663,2021,0.619394098043472,0.00680737806512223
13,062676,PALM SPRINGS,52,CA,06,425116,0,0,0,425116,2021,1.43754320454263,0.0238175998236116
14,050894,FAYETTEVILLE,51,AR,05,737911,0,0,0,737911,2021,1.57523154824886,0.0143347935242434
15,051302,HOT SPRINGS,51,AR,05,439471,0,0,0,439471,2021,1.51530500571488,0.00928959801326931
16,051374,JACKSONVILLE,52,AR,05,204794,0,0,0,204794,2021,0.746078470718685,0.00734493032402572
17,051560,LITTLE ROCK,51,AR,05,1531059,0,738126,626624,2895809,2021,1.77259415703613,0.0308513065270948
18,051938,NORTH LITTLE ROCK,51,AR,05,676662,0,331627,0,1008289,2021,2.65660248653049,0.0145147152804076
19,052304,ROGERS,51,AR,05,455391,0,0,0,455391,2021,1.01356310519931,0.00991633139440563
20,052466,SPRINGDALE,51,AR,05,793071,0,0,0,793071,2021,1.36400087831351,0.0120197298562825
21,052556,TEXARKANA,52,AR,05,317591,0,0,0,317591,2021,0.956865593002044,0.0105054412693407
22,059999,AR NONENTITLEMENT,21,AR,05,18585017,2261347,10125629,1030952,32002945,2021,40.2910396355887,13.404852541751
23,049019,PIMA COUNTY,61,AZ,04,2956649,253427,0,0,3210076,2021,11.5339401718771,2.21465380061181
24,049021,PINAL COUNTY,61,AZ,04,1807410,156877,612860,0,2577147,2021,11.1011019117513,1.28787636448276
25,049999,AZ NONENTITLEMENT,21,AZ,04,9799245,1552059,5884026,442224,17677554,2021,44.7343004130507,22.9302526960101
26,060030,ALHAMBRA,52,CA,06,967943,0,569254,0,1537197,2021,0.207493992240623,0.0019307249534916
27,060078,ANAHEIM,51,CA,06,4316587,367817,1511156,2841127,9036687,2021,1.38287833439224,0.0130102768719648
28,060102,ANTIOCH,52,CA,06,853905,0,0,0,853905,2021,0.671677993065009,0.00822977819032716
29,060108,APPLE VALLEY,52,CA,06,609694,0,804001,0,1413695,2021,0.767445278956065,0.0187909415625076
30,060234,BALDWIN PARK,52,CA,06,928982,0,311628,0,1240610,2021,0.266433450892552,0.00171666019035529
31,063342,SANTA ANA,51,CA,06,5558720,489141,1706231,0,7754092,2021,0.657537306663962,0.00688758290637445
32,063348,SANTA BARBARA,51,CA,06,896247,0,513817,0,1410064,2021,0.849135495000941,0.00497807178434592
33,063354,SANTA CLARA,51,CA,06,1059092,0,443011,0,1502103,2021,0.47263551680597,0.00483994284738525
34,063356,SANTA CLARITA,52,CA,06,1473141,0,527899,0,2001040,2021,1.2651266261207,0.0134042450237913
35,063360,SANTA CRUZ,51,CA,06,618240,0,396141,0,1014381,2021,0.531911581704891,0.00335569893486293
36,063372,SANTA MARIA,51,CA,06,1607491,0,0,0,1607491,2021,0.708484524771733,0.00597814787107068
37,069077,SAN JOAQUIN COUNTY,61,CA,06,2814679,235522,1157748,0,4207949,2021,6.29288856634455,0.355920501958984
38,010144,AUBURN,51,AL,01,676129,0,0,0,676129,2021,3.23914243812892,0.0151887881448862
39,010216,BESSEMER,52,AL,01,590045,0,0,0,590045,2021,2.20575864738364,0.0106353089333361
40,010228,BIRMINGHAM,51,AL,01,5966146,509160,1400013,1541007,9416326,2021,7.29909414360289,0.0372947392574113
41,010810,FLORENCE,51,AL,01,328579,0,0,0,328579,2021,1.18803169611996,0.00668869619700015
42,010882,GADSDEN,51,AL,01,1032357,0,0,0,1032357,2021,1.83190714592256,0.0100008442284581
43,011218,HUNTSVILLE,51,AL,01,1413368,0,746709,0,2160077,2021,9.99098038869748,0.0531350602101249
44,011740,OPELIKA,51,AL,01,292864,0,0,0,292864,2021,1.66850202064917,0.0150649082296991
